id,Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg),Predicted class
1,-25.65,25.8667,0.022,0.038,0.594,14.064,0.99,9.93,23.48,very low contamination
2,-25.5333,29.8667,0.014,0.069,0.164,3.261,0.56,5.44,18.38,very low contamination
3,-25.5,29.8667,0.002,0.045,0.11,1.659,0.26,1.64,1.09,very low contamination
4,-25.772,30.0731,0.006,0.0,0.072,6.337,0.23,4.49,3.8,very low contamination
5,-25.6843,30.0521,0.004,0.093,0.143,3.971,0.45,2.77,1.39,very low contamination
6,-25.5733,30.1193,0.008,0.267,0.418,2.008,4.45,1.43,0.141,very low contamination
7,-25.2554,30.156,0.036,0.24,0.351,2.232,0.642,1.748,0.649,very low contamination
8,-25.2293,30.0621,0.004,0.149,0.23,1.49,0.25,1.37,0.329,very low contamination
9,-25.7165,30.2391,0.005,0.22,0.288,3.225,0.36,2.27,0.8,very low contamination
10,-25.4283,30.2853,0.007,0.065,1.516,3.7,0.58,3.78,10.35,very low contamination
11,-25.4,30.35,0.006,0.042,1.242,2.445,1.62,4.89,4.17,very low contamination
12,-25.35,30.35,0.008,0.153,2.224,4.956,0.26,1.88,11.97,very low contamination
13,-25.3296,30.3886,0.016,0.083,7.016,0.981,0.68,10.64,16.6,very low contamination
14,-25.3333,30.3833,0.005,0.063,0.524,7.962,0.42,2.83,2.62,very low contamination
15,-25.7856,30.2553,0.037,0.169,2.374,1.224,1.574,5.236,3.437,very low contamination
16,-25.8425,30.2234,0.03,0.14,10.902,1.308,0.79,12.28,9.65,very low contamination
17,-26.3333,29.7667,0.007,0.046,1.356,1.626,0.23,1.88,8.62,very low contamination
18,-26.3667,29.8,0.006,0.209,1.176,3.838,0.3,2.68,1.42,very low contamination
19,-26.3569,29.8177,0.006,0.128,7.687,1.315,0.24,6.2,11.27,very low contamination
20,-26.35,29.8333,0.013,0.167,1.237,0.305,0.36,9.71,7.66,very low contamination
21,-26.1739,30.0325,0.003,0.198,0.296,1.058,0.09,0.73,0.062,very low contamination
22,-26.0333,29.8667,0.001,0.062,0.029,3.267,0.08,0.9,0.285,very low contamination
23,-26.479,29.9525,0.008,0.092,1.015,1.477,0.49,0.72,1.27,very low contamination
24,-26.4833,29.95,0.001,0.063,0.08,0.329,0.05,0.42,0.071,very low contamination
25,-25.9926,30.262,0.005,0.108,0.094,4.663,0.31,1.76,0.173,very low contamination
26,-25.9926,30.262,0.004,0.097,0.911,1.793,0.18,1.47,1.63,very low contamination
27,-26.1032,30.2836,0.003,0.111,0.113,6.062,0.29,3.95,2.29,very low contamination
28,-26.4336,30.307,0.004,0.033,0.083,1.923,6.24,0.91,0.066,very low contamination
29,-26.3,30.4333,0.005,0.065,0.109,2.629,0.26,1.37,0.56,very low contamination
30,-26.1477,30.5118,0.003,0.155,0.359,2.561,0.48,6.51,0.49,very low contamination
31,-26.1835,30.6642,0.001,0.077,0.067,4.926,0.24,1.27,0.091,very low contamination
32,-26.1963,30.7731,0.002,0.125,0.055,2.296,0.17,1.22,0.036,very low contamination
33,-26.2383,30.8272,0.002,0.086,0.073,3.285,0.28,2.94,0.744,very low contamination
34,-26.236,30.8278,0.004,0.093,0.121,3.259,0.84,3.64,0.16,very low contamination
35,-26.5285,30.7518,0.004,0.795,1.116,2.111,0.34,1.85,11.21,very low contamination
36,-26.0379,30.7423,0.003,0.091,0.194,0.915,0.14,1.01,0.76,very low contamination
37,-25.9846,30.6848,0.004,0.293,2.456,2.196,0.28,3.19,3.66,very low contamination
38,-26.0538,30.8869,0.033,0.043,15.137,1.061,0.2,14.58,22.11,very low contamination
39,-26.0266,30.8308,0.005,0.051,0.743,0.854,0.4,0.4,1.68,very low contamination
40,-25.7867,30.5582,0.004,0.034,0.141,2.838,0.22,2.98,3.41,very low contamination
41,-25.8187,30.5657,0.012,0.106,1.619,1.971,1.39,4.71,7.21,very low contamination
42,-25.6667,29.7,0.007,0.082,0.224,3.821,0.56,0.94,0.127,very low contamination
43,-25.7333,29.6,0.005,0.0,0.22,4.27,0.5,3.02,2.44,very low contamination
44,-25.7893,29.6011,0.006,0.066,0.104,6.554,0.31,1.52,2.38,very low contamination
45,-25.6906,29.6701,0.002,0.087,0.033,0.408,0.11,0.21,0.062,very low contamination
46,-25.6203,29.647,0.017,0.095,0.805,5.963,1.14,5.06,8.9,very low contamination
