Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg)
-25.65,25.8667,0.0220,0.0380,0.5940,14.0640,0.9900,9.9300,23.4800
-25.5333,29.8667,0.0140,0.0690,0.1640,3.2610,0.5600,5.4400,18.3800
-25.5,29.8667,0.0020,0.0450,0.1100,1.6590,0.2600,1.6400,1.0900
-25.772,30.0731,0.0060,0.0000,0.0720,6.3370,0.2300,4.4900,3.8000
-25.6843,30.0521,0.0040,0.0930,0.1430,3.9710,0.4500,2.7700,1.3900
-25.5733,30.1193,0.0080,0.2670,0.4180,2.0080,4.4500,1.4300,0.1410
-25.2554,30.156,0.0360,0.2400,0.3510,2.2320,0.6420,1.7480,0.6490
-25.2293,30.0621,0.0040,0.1490,0.2300,1.4900,0.2500,1.3700,0.3290
-25.7165,30.2391,0.0050,0.2200,0.2880,3.2250,0.3600,2.2700,0.8000
-25.4283,30.2853,0.0070,0.0650,1.5160,3.7000,0.5800,3.7800,10.3500
-25.4,30.35,0.0060,0.0420,1.2420,2.4450,1.6200,4.8900,4.1700
-25.35,30.35,0.0080,0.1530,2.2240,4.9560,0.2600,1.8800,11.9700
-25.3296,30.3886,0.0160,0.0830,7.0160,0.9810,0.6800,10.6400,16.6000
-25.3333,30.3833,0.0050,0.0630,0.5240,7.9620,0.4200,2.8300,2.6200
-25.7856,30.2553,0.0370,0.1690,2.3740,1.2240,1.5740,5.2360,3.4370
-25.8425,30.2234,0.0300,0.1400,10.9020,1.3080,0.7900,12.2800,9.6500
-26.3333,29.7667,0.0070,0.0460,1.3560,1.6260,0.2300,1.8800,8.6200
-26.3667,29.8,0.0060,0.2090,1.1760,3.8380,0.3000,2.6800,1.4200
-26.3569,29.8177,0.0060,0.1280,7.6870,1.3150,0.2400,6.2000,11.2700
-26.35,29.8333,0.0130,0.1670,1.2370,0.3050,0.3600,9.7100,7.6600
-26.1739,30.0325,0.0030,0.1980,0.2960,1.0580,0.0900,0.7300,0.0620
-26.0333,29.8667,0.0010,0.0620,0.0290,3.2670,0.0800,0.9000,0.2850
-26.479,29.9525,0.0080,0.0920,1.0150,1.4770,0.4900,0.7200,1.2700
-26.4833,29.95,0.0010,0.0630,0.0800,0.3290,0.0500,0.4200,0.0710
-25.9926,30.262,0.0050,0.1080,0.0940,4.6630,0.3100,1.7600,0.1730
-25.9926,30.262,0.0040,0.0970,0.9110,1.7930,0.1800,1.4700,1.6300
-26.1032,30.2836,0.0030,0.1110,0.1130,6.0620,0.2900,3.9500,2.2900
-26.4336,30.307,0.0040,0.0330,0.0830,1.9230,6.2400,0.9100,0.0660
-26.3,30.4333,0.0050,0.0650,0.1090,2.6290,0.2600,1.3700,0.5600
-26.1477,30.5118,0.0030,0.1550,0.3590,2.5610,0.4800,6.5100,0.4900
-26.1835,30.6642,0.0010,0.0770,0.0670,4.9260,0.2400,1.2700,0.0910
-26.1963,30.7731,0.0020,0.1250,0.0550,2.2960,0.1700,1.2200,0.0360
-26.2383,30.8272,0.0020,0.0860,0.0730,3.2850,0.2800,2.9400,0.7440
-26.236,30.8278,0.0040,0.0930,0.1210,3.2590,0.8400,3.6400,0.1600
-26.5285,30.7518,0.0040,0.7950,1.1160,2.1110,0.3400,1.8500,11.2100
-26.0379,30.7423,0.0030,0.0910,0.1940,0.9150,0.1400,1.0100,0.7600
-25.9846,30.6848,0.0040,0.2930,2.4560,2.1960,0.2800,3.1900,3.6600
-26.0538,30.8869,0.0330,0.0430,15.1370,1.0610,0.2000,14.5800,22.1100
-26.0266,30.8308,0.0050,0.0510,0.7430,0.8540,0.4000,0.4000,1.6800
-25.7867,30.5582,0.0040,0.0340,0.1410,2.8380,0.2200,2.9800,3.4100
-25.8187,30.5657,0.0120,0.1060,1.6190,1.9710,1.3900,4.7100,7.2100
-25.6667,29.7,0.0070,0.0820,0.2240,3.8210,0.5600,0.9400,0.1270
-25.7333,29.6,0.0050,0.0000,0.2200,4.2700,0.5000,3.0200,2.4400
-25.7893,29.6011,0.0060,0.0660,0.1040,6.5540,0.3100,1.5200,2.3800
-25.6906,29.6701,0.0020,0.0870,0.0330,0.4080,0.1100,0.2100,0.0620
-25.6203,29.647,0.0170,0.0950,0.8050,5.9630,1.1400,5.0600,8.9000
-25.7667,29.6167,0.0050,0.1150,0.1060,5.9500,0.2800,1.9600,2.9100
-25.4833,29.85,0.0020,0.1220,0.3320,0.7890,0.0800,0.4400,0.0320
-25.35,29.9667,0.0020,0.0960,0.0290,1.0770,0.0700,0.6700,0.0860
-25.6833,29.65,0.0020,0.0740,0.0350,1.6210,0.1000,1.5000,0.7400
-25.4833,29.8333,0.0020,0.3070,0.0890,0.8310,0.0900,0.3000,0.0380
-25.6667,29.5833,0.0050,0.1340,1.8340,3.8370,0.3100,2.3600,5.0200
-25.75,29.65,0.0060,0.1580,2.3080,3.8560,0.2400,1.4900,4.4300
-25.45,29.8833,0.0040,0.1980,0.1330,1.9270,0.1900,0.9900,0.0850
-25.8,29.6167,0.0040,0.2410,0.1310,1.6890,0.4000,1.1600,0.0790
-25.6,29.7667,0.0040,0.1800,0.1450,2.5820,0.3400,1.8800,0.2070
-25.4167,29.5333,0.0080,0.1830,0.1110,7.8320,0.2000,1.6900,0.7000
-25.8645,29.3939,0.0070,0.1660,0.3090,6.0340,0.1200,1.4500,2.2500
-30.4139,28.875,0.0230,0.2390,11.3100,2.3430,0.6500,5.2600,9.8600
-30.1728,29.2583,0.0180,0.1770,5.4480,3.3060,0.7300,3.4500,10.4600
-30.1708,29.2889,0.0120,0.1920,5.6570,5.2590,0.2900,4.3600,9.4000
-27.1658,21.0888,0.0090,0.1880,10.0000,2.3740,1.3500,9.4400,5.3000
-27.1369,32.0095,0.0260,0.1460,1.7830,6.3600,3.3100,4.5900,6.6400
-27.4463,32.1881,0.0120,0.1450,2.1260,1.2100,0.4400,1.2500,2.8200
-27.4899,32.1933,0.0150,0.1630,5.8660,2.2680,0.6900,4.4800,13.3700
-27.4692,32.2387,0.0090,0.1430,3.2140,2.0610,0.1300,0.5000,5.5700
-27.4097,32.2041,0.0010,0.1710,1.2990,0.6160,0.3200,1.1400,2.9900
-27.4111,32.2175,0.0100,0.4020,1.7510,4.1580,0.5200,4.7400,3.2600
-30.2986,29.3486,0.0320,0.3560,17.3320,8.3870,0.7600,7.9000,18.5300
-30.425,29.3319,0.0120,0.3100,6.6340,8.1940,0.4000,6.0800,14.0900
-27.4478,32.3203,0.0070,0.2900,0.4040,0.5970,0.1900,0.3000,0.3180
-30.4361,29.3014,0.0410,0.3170,10.0280,6.8280,0.5000,5.6700,11.0800
-25.3333,29.6333,0.0070,0.1950,0.1350,1.4730,0.1100,0.6400,0.1790
-25.35,29.65,0.0040,0.4400,0.2790,1.5930,0.1500,0.3700,0.0730
-25.3667,29.65,0.0020,0.2520,0.0830,1.6180,0.0800,0.3800,0.1260
-25.45,29.65,0.0020,0.2440,0.1160,2.3500,0.0700,0.8700,0.5800
-25.3833,29.1,0.0060,0.7600,0.2450,1.0590,0.1900,1.3800,0.0840
-25.4833,29.0167,0.0040,0.2400,0.2420,2.7090,0.1900,1.2200,0.6700
-25.4833,29.0167,0.0150,0.2010,4.5300,2.5520,0.8800,3.0800,3.6700
-25.9,29.8833,0.0090,0.2350,0.0910,3.6460,0.4600,2.1300,1.7000
-25.75,29.8333,0.0060,0.2630,0.1400,1.5080,0.1300,1.1500,0.1960
-25.1167,29.45,0.0090,0.2560,0.2460,13.5160,1.0600,1.9800,1.5300
-25.5202,29.0432,0.0070,0.1720,0.2150,8.3400,0.2000,0.6600,0.7100
-25.1167,29.5667,0.0020,0.2160,0.0550,1.8810,0.0600,0.2000,0.1810
-25.2333,29.7667,0.0060,0.2770,0.0950,2.3340,0.1000,0.8100,0.0550
-25.2333,29.7667,0.0060,0.2570,0.0860,1.7840,0.1100,0.8200,0.0370
-26.05,29.1833,0.0430,0.2340,5.5310,5.5900,0.8800,7.1200,15.0800
-25.05,29.1833,0.0390,0.4560,18.8530,0.7010,3.0140,10.5400,9.1040
-27.06,30.7994,0.0130,0.4650,1.1000,2.1760,0.2100,0.9900,0.8000
-27.0294,30.8212,0.0100,0.4150,1.4090,3.6860,0.7200,1.1300,0.4900
-27.0307,30.8194,0.0100,0.3920,0.5910,5.4830,0.3000,2.7700,1.8800
-27.0252,30.8253,0.0060,0.4250,0.0970,5.1160,0.1700,0.9400,0.0950
-27.0619,30.7691,0.0510,0.4030,6.6000,4.8300,1.7100,11.7800,4.7100
-27.0703,30.3634,0.0100,0.5980,0.2970,4.1810,0.1400,1.1900,0.1870
-26.1333,30.2833,0.0040,0.4060,0.1640,4.7950,0.2000,2.0200,0.5800
-27.0928,30.4885,0.0130,0.4240,0.1810,4.5580,0.4100,1.0000,0.1720
-27.152,31.0896,0.0370,0.2170,3.9030,3.5380,0.3400,5.4300,8.6000
-27.2246,31.1171,0.0180,0.3870,1.7590,9.9150,1.1400,4.4000,4.3900
-26.7652,30.4182,0.0120,0.6920,0.4120,6.5910,0.3100,3.0900,4.3900
-26.6667,30.3667,0.0160,0.4430,1.0290,21.5050,0.3600,0.7800,0.2040
-26.5987,30.6349,0.0130,0.3540,0.3550,3.8030,0.7100,1.6300,0.1130
-26.5729,30.5398,0.0090,0.2560,0.0890,6.9750,0.1200,1.1800,0.2320
-27.0663,30.546,0.0110,0.9470,0.2630,3.6650,0.3400,1.0500,0.2210
-27.0698,30.5429,0.0100,0.7060,0.2340,3.8240,0.2700,1.4700,0.1920
-27.0718,30.5428,0.0280,0.3850,0.3100,4.8690,0.3200,1.2300,0.1780
-27.0718,30.5428,0.0020,0.4010,0.2250,2.2990,0.4670,1.3800,0.2350
-26.8744,30.112,0.0150,0.2440,0.7820,3.5100,0.6400,1.1500,1.1600
-26.8833,30.0833,0.0410,0.1700,0.3760,2.1900,3.0910,1.3940,1.4880
-26.7333,29.9,0.0430,0.2320,0.5690,2.7970,11.1600,0.7500,0.6200
-26.6915,30.1428,0.0230,0.2290,0.5780,4.1640,0.8700,8.7500,7.2400
-26.6885,30.1438,0.0090,0.2430,0.1310,3.9860,0.2300,3.4400,3.7400
-27.06,30.7994,0.0110,0.3130,0.9520,2.2760,0.2500,0.8300,0.4150
-27.0911,29.792,0.0210,0.3430,1.2870,8.3290,0.9400,1.9600,1.2500
-27.01,30.2071,0.0120,0.5810,0.2150,10.6230,0.3800,2.0100,0.3460
-27.2674,32.0796,0.0420,0.3710,4.0980,1.7080,9.2100,16.5300,5.1400
-27.2617,29.9672,0.0610,0.1950,2.5070,3.0030,10.1700,16.9200,10.1800
-29.8741,30.7433,0.0390,0.2360,2.6120,1.7660,1.6700,15.0600,6.0700
-27.2617,29.9672,0.0250,0.4540,1.7800,4.2690,4.6700,3.8700,1.8100
-27.2587,29.9701,0.0310,0.2430,1.1340,6.8100,4.7100,3.4900,5.2800
-27.2513,29.9726,0.0190,0.2510,1.0640,7.0570,0.6900,2.0500,2.9800
-27.3167,29.65,0.0350,0.2140,6.2730,1.5640,25.2900,10.8800,3.7900
-27.3167,29.65,0.0120,0.1740,3.3870,4.1390,0.5600,3.2300,5.2000
-27.3167,29.65,0.0080,0.2380,1.8040,4.8190,0.4500,3.6200,1.8400
-27.3049,29.6661,0.0290,0.2710,2.5810,5.1740,1.0900,3.1600,2.1600
-27.3829,31.2245,0.0240,0.4490,2.0220,6.0500,2.0200,5.2100,2.5400
-26.8675,30.8733,0.0090,0.7270,1.1580,4.8230,0.3500,2.9100,3.3900
-25.7333,30.3333,0.0090,0.3450,0.9720,6.2800,0.7000,7.2300,2.3900
-27.5078,31.9655,0.0480,0.2030,9.9660,1.5820,3.7800,19.4700,12.5800
-27.5776,31.9616,0.0430,0.3940,7.5240,1.0620,2.2100,52.5460,16.2880
-27.5811,31.9574,0.0400,0.1790,6.9920,0.5350,0.4600,27.6900,16.5100
-27.6405,31.9983,0.0420,0.1840,8.4690,0.6000,1.1900,21.1500,13.6600
-27.6081,31.9815,0.0360,0.1640,9.5050,0.5000,1.0200,31.5600,14.9400
-27.6239,32.0697,0.0350,0.1610,12.1400,0.7010,0.7500,21.1800,12.3900
-27.6854,32.0242,0.0220,0.1940,14.1600,0.4210,0.9200,14.6700,13.1100
-27.6751,32.0225,0.0200,0.0900,9.5730,0.4240,0.8000,19.6800,18.9400
-28.0588,32.2626,0.0070,0.0920,0.5760,0.6790,0.3000,9.1900,0.6300
